"Идентиф.";"Обозначение";"Посад.место";"Количество";"Значение";"Поставщик и справка";
1;"IC4,IC5";"SON50P201X201X60-9N-D";2;"AP3441SHE-7B";;;
2;"IC2";"QFN40P1200X1200X90-101N-D";1;"USB7206C-I_KDX";;;
3;"J2,J3,J5,J4";"USB107530PB";4;"USB1075-30-P-B";;;
4;"IC8";"QFP50P1200X1200X160-64N";1;"STM32G491RET6";;;
5;"R22";"R_0402_1005Metric";1;"49.9K 0402 1% 1/10W";;;
6;"C4,C49,C3,C48";"C_0402_1005Metric";4;"10pF 50V 2% 0402";;;
7;"Y1";"ABM8G48000MHZ18D2YT";1;"ABM8G-25.000MHZ-4Y-T3";;;
8;"C7,C8,C10,C11,C12,C13,C14,C15,C17,C18,C19,C20,C21,C9,C2,C16,C5,C6";"C_0402_1005Metric";18;"0.1uF 16V 0402 10%";;;
9;"C1";"C_0402_1005Metric";1;"2.2uF 10V 0402 10%";;;
10;"R48,R62,R63,R58";"R_0402_1005Metric";4;"47R 1% 0402";;;
11;"R20";"R_0402_1005Metric";1;"43K 0402 1% 1/10W";;;
12;"R24,R23,R54,R1,R60,R25,R19,R2,R28,R27,R37,R39,R29,R30";"R_0402_1005Metric";14;"10K 0402 1% 1/16W";;;
13;"L1";"1285ASH1R0MP2";1;"1.0uH 2.2A";;;
14;"L2";"DFE2HCAH1R0MJ0L";1;"2.2uH 2.2A";;;
15;"R21,R14,R15,R9,R13,R6,R16,R7,R5,R17,R38,R8,R12,R40,R18,R11,R10,R43,R33,R34";"R_0402_1005Metric";20;"100K 0402 1% 1/16W";;;
16;"C26,C31,C65,C67,C60,C62,C42,C58,C70,C64,C33,C72,C66,C43,C32,C28,C27,C30,C29,C54,C24,C46";"C_0402_1005Metric";22;"0.1uF 35V 0402 10%";;;
17;"R56,R57,R52,R45,R51,R46,R47,R50,R49,R36,R35,R53";"R_0402_1005Metric";12;"0R 0402 1/16W";;;
18;"FB4,FB1,FB2,FB3";"BLM18EG121SH1D";4;"BLM18EG121SH1D";;;
19;"FL1,FL2";"BLM18AG102BH1D";2;"120R 800mA";;;
20;"C41,C38,C35,C73,C39,C74,C34,C40";"C_0603_1608Metric";8;"22uF 6.3V 0603 20%";;;
21;"C68";"CAPC1608X90N";1;"4.7uF 6.3V 0603";;;
22;"R44";"R_0402_1005Metric";1;"430K 0402 1% 1/10W";;;
23;"C59,C55,C47,C25";"C_1210_3225Metric";4;"120uF 6.3V 1210 20%";;;
24;"C51,C50";"R_0402_1005Metric";2;"4pF 50V";;;
25;"S1";"TS046665BK100SMT";1;"TS04-66-65-BK-100-SMT";;;
26;"Y3";"ECS327716TR3";1;"ECS-.327-7-16-TR3";;;
27;"J6";"FTSH-107-XX-YYY-DV-K-A";1;"FTSH-107-01-L-DV-K-A";;;
28;"R41";"R_0402_1005Metric";1;"95.3K 0402 1% 1/10W";;;
29;"C37,C36";"C_0402_1005Metric";2;"22pF 50V 0402 10%";;;
30;"C63,C57,C61,C69,C23,C45,C53";"C_0402_1005Metric";7;"1uF 25V 0402 10%";;;
31;"R31";"R_0402_1005Metric";1;"10R 0402 1% 1/10W";;;
32;"IC10,IC7,IC3,IC9";"SOT95P280X100-5N";4;"AP22816AKCWT-7";;;
33;"R59";"R_0402_1005Metric";1;"100R 0402";;;
34;"IC1";"SOT65P210X100-3N";1;"MIC803-29D4VC3-TR";;;
35;"F1";"SF1206F300M2";1;"3A";;;
36;"L3";"VLS6045";1;"3.3uH 5A";;;
37;"R61";"R_0402_1005Metric";1;"52.3K 0402";;;
38;"IC6";"SOTFL50P162X60-6N";1;"AP62301Z6-7";;;
39;"C56,C22,C52,C44";"C_0402_1005Metric";4;"10uF 6.3V 0402 20%";;;
40;"Y2";"ABM8G24000MHZ4YT3";1;"ABM8G-24.000MHZ-4Y-T3";;;
41;"C71";"C_0805_2012Metric";1;"10uF 20V 0805";;;
42;"R42";"R_0402_1005Metric";1;"120K 0402 1% 1/10W";;;
43;"R26";"R_0402_1005Metric";1;"12K 0402 1% 1/10W";;;
44;"R4,R3";"R_0402_1005Metric";2;"200K 0402 1% 1/10W";;;
